 记录条数  时间  bin号  晶号  电压(V)  反向漏电流(uA)  色坐标(x,y)  相关色温(K)  色差  主波长(nm)  色纯度(%)  峰值波长(nm)  显色性指数  光通量(lm)  辐射通量(mW)  光效 
0 2017_06_07 15:14:40 501 402.9050.21.0100,0.01001001-6.56E-001769.0100.0496.2非数字1.000.000.00
1 2017_06_07 15:14:40 524 402.8950.21.0100,0.01001001-6.56E-001769.0100.0496.2非数字1.000.000.00
2 2017_06_07 15:14:40 549 402.8930.21.0100,0.01001001-6.56E-001769.0100.0496.1非数字1.000.000.00
3 2017_06_07 15:14:40 572 402.8920.31.0100,0.01001001-6.56E-001769.0100.0496.1非数字1.000.000.00
4 2017_06_07 15:14:40 596 402.8920.21.0100,0.01001001-6.56E-001769.0100.0496.1非数字1.000.000.00
5 2017_06_07 15:14:40 619 402.9010.21.0100,0.01001001-6.56E-001769.0100.0496.1非数字1.000.000.00
6 2017_06_07 15:14:40 642 402.8900.21.0100,0.01001001-6.56E-001769.0100.0496.2非数字1.000.000.00
7 2017_06_07 15:14:40 668 402.8930.21.0100,0.01001001-6.56E-001769.0100.0496.1非数字1.000.000.00
8 2017_06_07 15:14:40 695 402.8950.31.0100,0.01001001-6.56E-001769.0100.0496.1非数字1.000.000.00
9 2017_06_07 15:14:40 720 402.8960.21.0100,0.01001001-6.56E-001769.0100.0496.1非数字1.000.000.00
10 2017_06_07 15:14:40 747 402.8970.21.0100,0.01001001-6.56E-001769.0100.0496.0非数字1.000.000.00
11 2017_06_07 15:14:40 773 402.9030.21.0100,0.01001001-6.56E-001769.0100.0500.1非数字1.000.000.00
12 2017_06_07 15:14:40 799 402.8930.21.0100,0.01001001-6.56E-001769.0100.0496.1非数字1.000.000.00
13 2017_06_07 15:14:40 824 402.8910.21.0100,0.01001001-6.56E-001769.0100.0500.1非数字1.000.000.00
14 2017_06_07 15:14:40 849 402.8930.21.0100,0.01001001-6.56E-001769.0100.0500.1非数字1.000.000.00
15 2017_06_07 15:14:40 875 402.8940.21.0100,0.01001001-6.56E-001769.0100.0500.1非数字1.000.000.00
16 2017_06_07 15:14:40 904 402.8910.21.0100,0.01001001-6.56E-001769.0100.0500.1非数字1.000.000.00
17 2017_06_07 15:14:40 930 402.8960.21.0100,0.01001001-6.56E-001769.0100.0500.1非数字1.000.000.00
18 2017_06_07 15:14:40 957 402.8910.21.0100,0.01001001-6.56E-001769.0100.0500.1非数字1.000.000.00
19 2017_06_07 15:14:40 982 402.8920.21.0100,0.01001001-6.56E-001769.0100.0500.1非数字1.000.000.00
20 2017_06_07 15:14:41 005 402.8900.21.0100,0.01001001-6.56E-001769.0100.0500.1非数字1.000.000.00
